estacion,lambda_hat_sim,lambda_teorico_lpEK,ratio_sim_teorico
cajas,0.006247,3.0,0.0021
ref,0.004497,5.4,0.0008
frei,0.003499,4.2,0.0008
pos,0.001254,1.5,0.0008
pol,0.001495,1.8,0.0008
