cajas,ref,frei,pos,pol,W_sim,W_profe,Var_W,IC_low,IC_high,W_analitico_ref,clientes_completados,viol_rho,score_align_40,score_wait_50,score_comp_10,score_total_100,criterio_optimo
5,4,1,1,1,127.5294,1.711,10627.9576,127.005,128.0539,1.3671,281.44,4,40.0,43.05,10.0,93.05,
5,1,1,1,4,184.2275,2.2764,13519.0897,183.7404,184.7146,0.0,211.52,5,40.0,17.1,10.0,67.1,
1,1,1,5,4,219.473,3.4453,14861.194,218.8908,220.0551,1.3636,139.98,4,40.0,0.96,10.0,50.96,
1,1,4,5,1,213.619,3.0247,14456.6966,212.9346,214.3034,1.3636,159.73,4,40.0,3.64,10.0,53.64,
4,5,1,1,1,153.4036,1.9673,11022.0064,152.8649,153.9422,1.1345,244.83,4,40.0,31.21,10.0,81.21,
1,5,4,1,1,214.5648,3.0411,14430.6875,213.8718,215.2577,1.1345,158.78,4,40.0,3.21,10.0,53.21,
1,1,5,4,1,214.1309,3.047,14407.7382,213.4576,214.8042,1.7143,158.5,4,40.0,3.41,10.0,53.41,
4,1,1,1,5,190.1188,2.3027,12875.4554,189.6352,190.6023,0.0,209.09,5,40.0,14.4,10.0,64.4,
1,1,1,4,5,218.8014,3.4453,14882.604,218.2222,219.3806,1.7143,139.94,4,40.0,1.27,10.0,51.27,
1,4,1,5,1,220.8829,3.9434,15193.5262,220.2297,221.536,2.7307,122.38,3,40.0,0.32,10.0,50.32,
5,1,1,4,1,177.2093,2.5103,13873.7332,176.6495,177.7692,1.7143,192.0,4,40.0,20.31,10.0,70.31,
1,1,5,1,4,213.3824,2.5665,13870.1444,212.7448,214.0199,0.0,187.97,5,40.0,3.75,10.0,53.75,
1,4,5,1,1,214.389,3.0348,14398.7879,213.7382,215.0398,1.3671,159.06,4,40.0,3.29,10.0,53.29,
1,5,1,4,1,220.5731,3.9393,15235.3021,219.9261,221.2201,2.8487,122.54,3,40.0,0.46,10.0,50.46,
1,1,4,1,5,213.6388,2.5567,13863.7442,212.9992,214.2785,0.0,188.71,5,40.0,3.64,10.0,53.64,
4,1,1,5,1,187.449,2.6249,13350.0229,186.9187,187.9793,1.3636,183.57,4,40.0,15.62,10.0,65.62,
6,1,2,1,2,178.0883,1.8195,13901.3134,177.6133,178.5633,0.0,264.51,5,40.0,19.91,10.0,69.91,
2,6,2,1,1,197.8558,2.1798,12613.5625,197.3544,198.3573,1.0189,220.89,4,40.0,10.86,10.0,60.86,
2,1,1,6,2,204.8067,2.708,13413.6482,204.3,205.3134,1.2,177.88,4,40.0,7.68,10.0,57.68,
1,6,2,2,1,216.0919,3.0737,14373.0625,215.4522,216.7316,1.0189,157.09,4,40.0,2.51,10.0,52.51,
2,1,2,1,6,198.4844,1.8085,12047.5829,198.0741,198.8947,0.0,265.96,5,40.0,10.57,10.0,60.57,
1,1,6,2,2,214.6836,2.705,14141.5589,214.0462,215.321,0.0,178.24,5,40.0,3.16,10.0,53.16,
2,2,1,6,1,198.6654,2.8023,13292.7039,198.091,199.2398,1.2,172.06,4,40.0,10.49,10.0,60.49,
1,6,2,1,2,216.6889,2.7443,13991.9617,216.0864,217.2913,1.0189,175.82,4,40.0,2.24,10.0,52.24,
6,2,2,1,1,155.014,1.6025,11727.7202,154.5562,155.4719,0.0,300.35,5,40.0,30.47,10.0,80.47,
1,2,1,2,6,218.3946,3.4494,14948.501,217.814,218.9751,0.0,139.77,5,40.0,1.46,10.0,51.46,
1,2,2,1,6,215.3704,2.5826,13785.3273,214.7996,215.9411,0.0,186.79,5,40.0,2.84,10.0,52.84,
1,2,6,2,1,213.7437,3.0409,14479.0399,213.0268,214.4607,0.0,158.69,5,40.0,3.59,10.0,53.59,
2,1,2,6,1,199.7065,2.2182,12671.3948,199.2306,200.1823,1.2,217.09,4,40.0,10.01,10.0,60.01,
1,2,6,1,2,214.9778,2.7093,14137.8935,214.3203,215.6352,0.0,178.04,5,40.0,3.02,10.0,53.02,
1,1,2,6,2,217.0259,2.7418,14061.0267,216.4272,217.6246,1.2,175.94,4,40.0,2.08,10.0,52.08,
6,2,1,2,1,143.5874,1.8071,10923.7803,143.0916,144.0831,0.0,266.42,5,40.0,35.7,10.0,85.7,
