tag,cost,wait_mean,wait_ci_low,wait_ci_high,tis_mean,caja,freidora,refrescos,pollo
b_budget_2000,1950.0,2317.9855846540854,2288.5273854187485,2347.4437838894223,2323.6164853955074,1,2,1,3
b_budget_2000,1850.0,2318.862726087375,2289.3834234450546,2348.3420287296954,2323.672381379105,1,2,1,2
b_budget_2000,1950.0,2327.5466968426313,2297.382011386083,2357.7113822991796,2324.92061251209,1,1,1,5
