tag,cost,wait_mean,wait_ci_low,wait_ci_high,tis_mean,caja,freidora,refrescos,pollo
c_budget_3000,3000.0,1004.737988216901,969.4404964746677,1040.0354799591344,980.4381471006103,2,1,2,3
c_budget_3000,2900.0,1021.037435588499,984.7630870691987,1057.3117841077992,985.5247519888856,2,1,2,2
c_budget_3000,3000.0,1109.0517234069227,1075.7816162401411,1142.3218305737043,1089.0014014039118,2,2,2,1
